epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12946.5,1.21576,0.68048,0.95531,0.93137,0.94264,0.9656,0.64644,1.18806,0.59416,0.91859,0.005842,0.005842,0.005842
44,13241.1,1.21543,0.68675,0.95285,0.94051,0.91944,0.95882,0.65371,1.18146,0.59344,0.92066,0.005743,0.005743,0.005743
45,13536,1.2071,0.68346,0.9516,0.93746,0.93246,0.96246,0.65974,1.15627,0.57832,0.9134,0.005644,0.005644,0.005644
46,13830.7,1.18936,0.66341,0.94748,0.94335,0.94222,0.96547,0.67039,1.1407,0.57265,0.90826,0.005545,0.005545,0.005545
47,14125.3,1.174,0.66595,0.94539,0.946,0.94266,0.96054,0.66488,1.14595,0.57072,0.90802,0.005446,0.005446,0.005446
48,14420,1.18463,0.66416,0.94391,0.92757,0.94248,0.96363,0.66847,1.13312,0.57019,0.90564,0.005347,0.005347,0.005347
49,14714.8,1.1754,0.65876,0.94427,0.9369,0.93733,0.96097,0.67309,1.12502,0.56329,0.90495,0.005248,0.005248,0.005248
50,15009.7,1.1732,0.65403,0.94243,0.93986,0.94013,0.96279,0.67631,1.1197,0.55535,0.9038,0.005149,0.005149,0.005149
51,15304.7,1.15334,0.64259,0.93932,0.94709,0.95172,0.97017,0.67627,1.11403,0.55403,0.90368,0.00505,0.00505,0.00505
52,15599.3,1.14899,0.64083,0.93926,0.94889,0.9421,0.97179,0.67671,1.11608,0.54666,0.90251,0.004951,0.004951,0.004951
53,15894.2,1.14287,0.63867,0.93679,0.94907,0.95447,0.97146,0.68059,1.10549,0.54737,0.89876,0.004852,0.004852,0.004852
54,16189.4,1.13101,0.62293,0.9313,0.94577,0.94701,0.97136,0.68043,1.10303,0.53984,0.89793,0.004753,0.004753,0.004753
55,16485.1,1.11924,0.61984,0.935,0.94768,0.9512,0.97456,0.68571,1.09453,0.53383,0.89691,0.004654,0.004654,0.004654
56,16781.1,1.11995,0.6221,0.93512,0.94298,0.9444,0.97008,0.68851,1.09135,0.52908,0.89424,0.004555,0.004555,0.004555
57,17075.6,1.11724,0.62177,0.93449,0.94898,0.95114,0.97251,0.68972,1.10076,0.52647,0.89724,0.004456,0.004456,0.004456
58,17370.4,1.10748,0.61051,0.92653,0.95018,0.95182,0.96902,0.6948,1.07694,0.51714,0.89365,0.004357,0.004357,0.004357
59,17665.2,1.09076,0.59329,0.92381,0.95537,0.94512,0.97104,0.70106,1.06921,0.50748,0.89228,0.004258,0.004258,0.004258
60,17960,1.08985,0.59121,0.92236,0.95667,0.94795,0.97129,0.69981,1.05864,0.50324,0.89267,0.004159,0.004159,0.004159
61,18254.6,1.09075,0.59794,0.92351,0.95929,0.95281,0.97166,0.70209,1.04929,0.50037,0.89011,0.00406,0.00406,0.00406
62,18549.4,1.07597,0.58797,0.91849,0.95852,0.95453,0.97318,0.70324,1.04337,0.49783,0.88954,0.003961,0.003961,0.003961
63,18844.1,1.06867,0.57985,0.91834,0.96532,0.95541,0.97303,0.70208,1.04851,0.49149,0.89053,0.003862,0.003862,0.003862
64,19138.6,1.06623,0.58055,0.91673,0.96319,0.95672,0.97333,0.70632,1.03805,0.4868,0.88863,0.003763,0.003763,0.003763
65,19433.4,1.05732,0.57055,0.91618,0.96152,0.95696,0.97385,0.70719,1.03405,0.48534,0.88671,0.003664,0.003664,0.003664
66,19728.3,1.04466,0.56177,0.90976,0.96228,0.95474,0.97341,0.70959,1.02676,0.47912,0.88439,0.003565,0.003565,0.003565
67,20023,1.04781,0.55995,0.91164,0.96397,0.94735,0.97513,0.70817,1.02879,0.47646,0.88408,0.003466,0.003466,0.003466
68,20317.9,1.04334,0.5569,0.90909,0.95665,0.96329,0.97499,0.71166,1.01913,0.47269,0.88173,0.003367,0.003367,0.003367
69,20612.7,1.02953,0.55036,0.90745,0.95387,0.9648,0.97526,0.71371,1.01573,0.47016,0.88036,0.003268,0.003268,0.003268
70,20907.8,1.01654,0.54398,0.90299,0.95426,0.9708,0.97492,0.71434,1.01159,0.46762,0.87985,0.003169,0.003169,0.003169
71,21202.7,1.0099,0.54123,0.90295,0.95188,0.96774,0.9752,0.71587,1.00846,0.46369,0.87954,0.00307,0.00307,0.00307
72,21497.4,1.00452,0.53157,0.90265,0.95615,0.96901,0.97593,0.71898,1.00198,0.45759,0.87847,0.002971,0.002971,0.002971
73,21792.3,1.0026,0.52285,0.90105,0.95822,0.97202,0.97781,0.72043,0.99505,0.45276,0.87748,0.002872,0.002872,0.002872
74,22086.9,0.97667,0.51839,0.89521,0.95447,0.97004,0.9757,0.72274,0.9908,0.45282,0.87658,0.002773,0.002773,0.002773
75,22381.6,0.96819,0.51636,0.89528,0.95463,0.97004,0.97596,0.72751,0.9877,0.45016,0.87524,0.002674,0.002674,0.002674
76,22676.3,0.96672,0.51053,0.89281,0.95485,0.96818,0.97628,0.73085,0.98406,0.44672,0.87448,0.002575,0.002575,0.002575
