epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14995.1,1.0533,1.28045,1.15272,0.50303,0.48213,0.49209,0.39753,1.05829,0.93884,1.04095,0.005842,0.005842,0.005842
44,15340,1.04027,1.26477,1.14811,0.46383,0.50384,0.49609,0.40054,1.05556,0.93363,1.0397,0.005743,0.005743,0.005743
45,15684.9,1.03781,1.25254,1.14686,0.52534,0.47638,0.51051,0.41124,1.05763,0.92882,1.04215,0.005644,0.005644,0.005644
46,16030.8,1.03118,1.24057,1.14926,0.54426,0.48031,0.52117,0.42218,1.04767,0.91681,1.04203,0.005545,0.005545,0.005545
47,16376.9,1.03132,1.22305,1.14358,0.5411,0.50005,0.53487,0.43432,1.05572,0.90797,1.04448,0.005446,0.005446,0.005446
48,16723.1,1.03062,1.20759,1.14065,0.58182,0.48471,0.5353,0.43314,1.05494,0.90437,1.04135,0.005347,0.005347,0.005347
49,17068.1,1.03087,1.19783,1.1372,0.5515,0.5183,0.54614,0.44345,1.05129,0.89106,1.0357,0.005248,0.005248,0.005248
50,17413.2,1.01557,1.19257,1.13347,0.55966,0.5146,0.54826,0.44934,1.05459,0.89156,1.03701,0.005149,0.005149,0.005149
51,17757.8,1.01293,1.17108,1.13636,0.51956,0.5395,0.54812,0.44618,1.05154,0.88592,1.03762,0.00505,0.00505,0.00505
52,18102.7,1.00535,1.15321,1.13386,0.57679,0.51432,0.55547,0.45324,1.04365,0.875,1.04073,0.004951,0.004951,0.004951
53,18448.1,1.00411,1.13853,1.12746,0.57868,0.52671,0.56513,0.4606,1.03933,0.86918,1.03594,0.004852,0.004852,0.004852
54,18793.1,1.0101,1.12537,1.12966,0.56754,0.53049,0.5605,0.45824,1.04222,0.87149,1.03306,0.004753,0.004753,0.004753
55,19137.9,0.99852,1.12608,1.12353,0.5872,0.52053,0.56224,0.46285,1.04222,0.87064,1.03203,0.004654,0.004654,0.004654
56,19482.6,0.98542,1.10151,1.12141,0.57716,0.54168,0.56822,0.47096,1.04096,0.86099,1.0322,0.004555,0.004555,0.004555
57,19831.3,0.98147,1.11606,1.11471,0.60228,0.53924,0.57416,0.47498,1.03881,0.8555,1.0296,0.004456,0.004456,0.004456
58,20176.4,0.98005,1.07923,1.11796,0.57701,0.55135,0.58147,0.48066,1.03655,0.85683,1.0348,0.004357,0.004357,0.004357
59,20521.6,0.9741,1.07514,1.11334,0.59887,0.5678,0.59275,0.49291,1.03451,0.84436,1.03484,0.004258,0.004258,0.004258
60,20866.4,0.97715,1.06116,1.12028,0.6017,0.56026,0.59735,0.49422,1.03111,0.84095,1.03169,0.004159,0.004159,0.004159
61,21211,0.96539,1.03996,1.10554,0.62985,0.54122,0.59902,0.49587,1.02981,0.83807,1.0297,0.00406,0.00406,0.00406
62,21563.1,0.96382,1.03387,1.1076,0.63601,0.54957,0.60722,0.50353,1.0327,0.83903,1.03116,0.003961,0.003961,0.003961
63,22009.3,0.95332,1.0571,1.1082,0.60461,0.56786,0.60837,0.50575,1.03038,0.8351,1.02879,0.003862,0.003862,0.003862
64,22409.4,0.94433,1.01403,1.09794,0.63665,0.56175,0.61232,0.50764,1.02752,0.82647,1.02685,0.003763,0.003763,0.003763
65,22803.2,0.95016,1.00605,1.09798,0.6437,0.55538,0.61553,0.50881,1.02634,0.82377,1.02763,0.003664,0.003664,0.003664
66,23198.7,0.94851,0.9972,1.09807,0.64289,0.55675,0.6158,0.51119,1.0256,0.81956,1.0265,0.003565,0.003565,0.003565
67,23594.8,0.93436,0.98653,1.0948,0.62511,0.57343,0.61667,0.51295,1.02809,0.81699,1.02818,0.003466,0.003466,0.003466
68,23989.1,0.93117,0.96874,1.09539,0.67692,0.55193,0.62352,0.51905,1.02635,0.81024,1.02841,0.003367,0.003367,0.003367
69,24382.9,0.93405,0.97251,1.09241,0.65824,0.5737,0.62878,0.52255,1.02685,0.80441,1.02879,0.003268,0.003268,0.003268
70,24780.6,0.92993,0.94824,1.08895,0.66812,0.5711,0.63303,0.52717,1.03106,0.80469,1.0326,0.003169,0.003169,0.003169
71,25206.9,0.91894,0.93995,1.08497,0.63562,0.59554,0.63468,0.52973,1.03012,0.80115,1.03111,0.00307,0.00307,0.00307
72,25707.1,0.91692,0.93285,1.08316,0.68874,0.56542,0.63961,0.5341,1.02855,0.79892,1.0305,0.002971,0.002971,0.002971
73,26098.4,0.9183,0.92473,1.08308,0.68969,0.5633,0.64138,0.53565,1.02578,0.79692,1.02979,0.002872,0.002872,0.002872
74,26493.6,0.9046,0.92337,1.08233,0.69497,0.56494,0.64242,0.53691,1.02522,0.79482,1.03047,0.002773,0.002773,0.002773
75,26893.6,0.89843,0.90522,1.08073,0.67675,0.58168,0.6434,0.53768,1.02608,0.79595,1.03084,0.002674,0.002674,0.002674
76,27289.1,0.90453,0.89359,1.08253,0.65342,0.59014,0.6427,0.53536,1.02721,0.79805,1.03128,0.002575,0.002575,0.002575
77,27689.1,0.88854,0.88277,1.07539,0.68409,0.57869,0.64598,0.5382,1.02722,0.79788,1.03168,0.002476,0.002476,0.002476
78,28095.1,0.89186,0.8679,1.06838,0.69986,0.5733,0.64832,0.54071,1.02757,0.79666,1.03091,0.002377,0.002377,0.002377
79,28510.7,0.89114,0.8585,1.06993,0.68949,0.58266,0.6497,0.54331,1.02825,0.79641,1.03097,0.002278,0.002278,0.002278
80,28936.2,0.88488,0.855,1.06752,0.69934,0.57848,0.65046,0.54415,1.02923,0.79558,1.03106,0.002179,0.002179,0.002179
81,29352.2,0.87258,0.85081,1.0679,0.64581,0.60734,0.65137,0.5451,1.02942,0.7953,1.03119,0.00208,0.00208,0.00208
82,29979.5,0.86846,0.84171,1.06167,0.6375,0.6186,0.6517,0.5468,1.02876,0.79365,1.03119,0.001981,0.001981,0.001981
83,30421.2,0.86559,0.82413,1.06443,0.70376,0.57035,0.65347,0.54942,1.02862,0.79176,1.03129,0.001882,0.001882,0.001882
84,30827.6,0.86476,0.81799,1.05903,0.69238,0.58462,0.65529,0.5508,1.02761,0.78993,1.03104,0.001783,0.001783,0.001783
85,31213.7,0.86003,0.81149,1.05904,0.69147,0.59234,0.65742,0.55296,1.02673,0.78772,1.03046,0.001684,0.001684,0.001684
86,31614.2,0.85798,0.81862,1.0546,0.69362,0.59343,0.65851,0.55398,1.0263,0.78773,1.0305,0.001585,0.001585,0.001585
87,31970.8,0.8418,0.79804,1.05339,0.67685,0.59795,0.66003,0.55519,1.02677,0.78623,1.03103,0.001486,0.001486,0.001486
88,32473.4,0.84701,0.78888,1.05209,0.66976,0.6093,0.66033,0.55483,1.0274,0.78478,1.03142,0.001387,0.001387,0.001387
89,32820.7,0.84226,0.77478,1.05081,0.67022,0.60944,0.66057,0.5553,1.02752,0.78417,1.03136,0.001288,0.001288,0.001288
90,33166.1,0.83709,0.76861,1.04526,0.67487,0.60578,0.66128,0.55609,1.02735,0.7837,1.03156,0.001189,0.001189,0.001189
91,33497.3,0.70301,0.44803,0.93758,0.6724,0.60529,0.66128,0.55606,1.0271,0.78385,1.0315,0.00109,0.00109,0.00109
92,33829.1,0.68821,0.42521,0.9298,0.68581,0.60008,0.66134,0.55573,1.02672,0.78432,1.03135,0.000991,0.000991,0.000991
93,34158.9,0.68042,0.41307,0.92431,0.6876,0.60117,0.6624,0.55672,1.02616,0.78403,1.03132,0.000892,0.000892,0.000892
94,34488.3,0.67765,0.40488,0.92872,0.6857,0.60315,0.66269,0.5569,1.02568,0.78333,1.03147,0.000793,0.000793,0.000793
95,34817.4,0.67428,0.3976,0.92549,0.68844,0.60055,0.66248,0.5568,1.02542,0.78251,1.03195,0.000694,0.000694,0.000694
96,35146.9,0.6586,0.38667,0.91702,0.68737,0.59951,0.66255,0.5574,1.02484,0.7827,1.03176,0.000595,0.000595,0.000595
97,35478.3,0.65755,0.38014,0.91877,0.69571,0.59358,0.66299,0.55738,1.02453,0.78233,1.03198,0.000496,0.000496,0.000496
98,35809.4,0.65185,0.3786,0.91872,0.69593,0.59214,0.66328,0.55832,1.02448,0.78282,1.03233,0.000397,0.000397,0.000397
99,36138.9,0.64778,0.36794,0.91641,0.69845,0.58845,0.66361,0.55899,1.02467,0.78303,1.03258,0.000298,0.000298,0.000298
100,36468.5,0.64352,0.36542,0.9096,0.6986,0.59088,0.66413,0.56033,1.02455,0.78313,1.0328,0.000199,0.000199,0.000199
